order_id,customer_id,order_date,status,region_code
1,319,2026-03-01 00:00:00,DELIVERED,WEST
2,469,2024-11-05 00:09:25,DELIVERED,EAST
3,13,2024-10-05 18:30:41,DELIVERED,WEST
5,264,2025-08-04 07:40:08,RETURNED,NORTH
6,321,2024-08-14 06:37:41,SHIPPED,WEST
7,428,2026-04-27 12:35:01,CANCELLED,NORTH
8,383,2026-07-10 00:00:00,DELIVERED,NORTH
9,45,2026-04-20 21:25:10,DELIVERED,NORTH
10,295,2025-05-07 14:08:40,CANCELLED,WEST
11,231,2025-03-27 20:14:34,PLACED,WEST
12,345,2026-05-27 00:00:00,RETURNED,NORTH
13,388,2026-05-14 00:00:00,PLACED,EAST
14,476,2025-10-03 02:42:10,DELIVERED,NORTH
15,145,2025-02-26 02:59:33,CANCELLED,NORTH
16,243,2024-12-21 00:31:36,CANCELLED,EAST
17,492,2026-02-18 17:11:06,DELIVERED,NORTH
18,284,2025-08-17 19:27:16,PLACED,NORTH
19,294,2025-05-27 01:56:14,PLACED,EAST
20,108,2026-02-08 10:06:52,DELIVERED,SOUTH
21,212,2024-11-11 02:51:05,SHIPPED,SOUTH
22,95,2025-08-28 11:26:47,SHIPPED,NORTH
23,93,2025-06-14 13:25:16,PLACED,WEST
24,331,2026-06-26 20:04:31,PLACED,EAST
25,51,2024-09-02 05:22:39,DELIVERED,EAST
26,66,2025-04-20 03:00:30,DELIVERED,NORTH
27,461,2026-04-29 22:37:37,DELIVERED,EAST
28,356,2026-02-27 05:16:51,DELIVERED,EAST
29,491,2025-07-09 00:00:00,SHIPPED,SOUTH
30,365,2024-11-05 08:44:31,DELIVERED,SOUTH
31,348,2025-08-22 23:25:43,CANCELLED,WEST
32,184,2025-03-28 00:21:05,PLACED,SOUTH
33,331,2024-08-15 14:05:45,SHIPPED,SOUTH
34,135,2025-12-14 20:33:22,PLACED,NORTH
35,435,2025-05-13 00:00:00,RETURNED,WEST
36,394,2024-10-22 00:46:03,RETURNED,EAST
37,279,2025-04-30 13:56:36,SHIPPED,EAST
38,201,2026-04-30 23:54:20,DELIVERED,SOUTH
39,238,2024-12-24 03:34:18,DELIVERED,NORTH
40,340,2025-02-17 10:38:53,RETURNED,SOUTH
41,388,2025-02-22 05:38:26,SHIPPED,SOUTH
42,377,2026-07-10 14:56:13,PLACED,SOUTH
43,390,2025-04-17 01:30:26,DELIVERED,SOUTH
44,22,2024-12-21 18:47:28,DELIVERED,WEST
45,241,2025-06-15 02:52:05,PLACED,EAST
46,53,2025-06-11 13:50:28,DELIVERED,EAST
47,297,2026-02-09 21:38:24,CANCELLED,EAST
48,301,2025-05-03 02:52:37,RETURNED,EAST
49,193,2025-05-29 01:30:07,CANCELLED,EAST
50,419,2025-07-04 16:28:09,CANCELLED,NORTH
51,257,2025-09-30 20:11:09,SHIPPED,NORTH
52,264,2026-07-25 18:38:22,SHIPPED,SOUTH
53,186,2025-12-23 13:20:11,SHIPPED,WEST
54,416,2026-03-27 04:30:17,CANCELLED,WEST
55,108,2026-01-17 23:29:44,CANCELLED,NORTH
57,323,2025-09-19 02:27:36,SHIPPED,NORTH
58,86,2026-04-26 22:53:55,CANCELLED,NORTH
59,450,2024-12-30 15:47:28,DELIVERED,NORTH
60,111,2026-03-16 20:22:39,CANCELLED,SOUTH
61,113,2026-01-30 22:16:08,RETURNED,SOUTH
62,320,2025-07-20 22:41:11,DELIVERED,WEST
63,306,2024-08-16 13:18:07,CANCELLED,SOUTH
65,424,2024-11-15 15:59:52,CANCELLED,NORTH
66,450,2026-05-23 22:53:34,PLACED,NORTH
67,247,2025-11-13 02:47:34,RETURNED,NORTH
68,460,2025-09-03 12:01:53,CANCELLED,WEST
69,190,2025-03-28 01:41:00,CANCELLED,SOUTH
70,481,2025-07-30 21:41:48,CANCELLED,EAST
71,302,2025-02-08 18:27:40,RETURNED,NORTH
72,218,2026-04-28 13:20:58,SHIPPED,NORTH
73,146,2024-09-13 06:55:17,DELIVERED,SOUTH
74,3,2024-10-20 17:41:01,RETURNED,NORTH
76,186,2025-01-13 19:58:28,RETURNED,EAST
77,134,2025-02-11 04:35:22,DELIVERED,EAST
78,349,2026-04-14 06:57:15,RETURNED,WEST
79,92,2024-10-18 18:49:24,DELIVERED,EAST
80,296,2026-02-04 08:21:21,SHIPPED,NORTH
81,383,2025-02-15 04:39:09,SHIPPED,NORTH
82,110,2025-04-29 15:13:37,RETURNED,NORTH
83,83,2025-09-20 16:10:41,PLACED,SOUTH
84,242,2026-03-24 03:18:52,PLACED,EAST
85,114,2025-04-17 19:48:25,CANCELLED,WEST
86,315,2025-06-06 05:17:58,RETURNED,NORTH
87,485,2025-04-22 21:39:17,CANCELLED,WEST
88,6,2025-12-18 20:40:40,RETURNED,EAST
90,315,2025-10-04 00:00:00,SHIPPED,NORTH
91,500,2025-11-27 03:38:04,CANCELLED,EAST
92,343,2025-09-06 18:08:45,RETURNED,NORTH
93,378,2026-07-25 20:24:16,RETURNED,EAST
94,372,2025-03-05 08:07:43,DELIVERED,EAST
96,477,2025-08-17 00:00:00,SHIPPED,WEST
97,260,2026-02-26 08:57:04,DELIVERED,EAST
98,485,2025-07-01 21:52:09,DELIVERED,EAST
99,356,2024-10-05 17:06:28,CANCELLED,SOUTH
100,388,2025-10-31 16:57:49,CANCELLED,NORTH
101,247,2025-07-14 04:47:01,SHIPPED,SOUTH
102,410,2026-07-09 05:03:33,RETURNED,NORTH
103,359,2026-05-05 16:22:52,PLACED,WEST
